,Date,Tweets
17,2020-04-04,"Is Tesla -&gt; Biosolar Inc battery testing?

https://t.co/TltKxs4aYx
https://t.co/WkBOGpfMhy

They want to double the range.

#prototype $bsrc #EnergyStorage 
#lithiumio #cells #silicon #anodes #battery #Biosolar #stockstowatch #stockstotrade #stocks $tsla #Tesla"
18,2020-04-04,Productivity in life can be the same as business.  These are 5 of the most valid and useful principles I've ever heard. #elonmusk #tesla #spacex #theboringcompany #leadership #visionary https://t.co/YLUUwwmifc
19,2020-04-04,"Musk spends more on in a day on PR than most companies do in a lifetime. 
#TheSociopathicBusinessModel #FraudFormula $TSLA #Tesla #SpaceX #BoringCompany https://t.co/IDExhrtk7V"
20,2020-04-03,"Tesla Inc closed at $480.01 (5.62%) 💹 Market Cap is now $88.374B
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
21,2020-04-03,"#Electric carmaker #Tesla Inc (#NASDAQ: TSLA) said on Thursday that they had the best first-quarter #performance ever with 103,000 #vehicles produced,

https://t.co/JgYebHVrx7

#Rakamoto #FridayThoughts #Blockchain #Crypto #Bitcoin #Digital #Money #Coins #Dollar #Banks"
22,2020-04-03,"Tesla Inc is now $470.38 (3.5%) 💹
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
23,2020-04-03,Tesla Motors Inc (TSLA) stock rose by 7.9807%! Currently at 490.74. https://t.co/Salpg2wX5c #Tesla #Bot
24,2020-04-03,No turn-around in sight #Tesla #Stock #MarketScreener https://t.co/GalucPlfQP https://t.co/WWZfGVVjHz
25,2020-04-03,Tesla : Posts Delivery Surge but Is Silent On Virus's Impact #Tesla #Stock #MarketScreener https://t.co/E73kiAatIY https://t.co/mhdMoGr1rn
26,2020-04-02,Tesla : Doesn't Change Growth Goal Despite Coronavirus Uncertainty #Tesla #Stock #MarketScreener https://t.co/BsDyHTcBl3 https://t.co/3zjZN2YKtg
27,2020-04-02,"Tesla Inc closed at $454.47 (-5.63%) 🔴 Market Cap is now $83.672B
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
28,2020-04-02,"RT @_StuntMan12_: If you had $5,000 to invest. What would you rather invest in? 

Tesla Inc at $481.56
or
Berkshire Hathaway Inc. Class B a…"
29,2020-04-02,"Tesla : sees strong Model Y production, deliveries; shares rise #Tesla #Stock #MarketScreener https://t.co/wbp3yfgxQr https://t.co/Av3SUnVw2W"
30,2020-04-02,"Tesla Inc is now $459.64 (-4.55%) 🔴
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
31,2020-04-02,"Is Tesla -&gt; Biosolar Inc battery testing?

https://t.co/TltKxs4aYx
https://t.co/WkBOGpfMhy

They want to double the range.

#prototype $bsrc #EnergyStorage 
#lithiumio #cells #silicon #anodes #battery #Biosolar #stockstowatch #stockstotrade #stocks $tsla #Tesla"
32,2020-04-02,#Ukraine has taken to #Twitter to ask Elon #Musk to send it ventilators after the billionaire chief executive of #Tesla Inc (TSLA.O) offered to ship them across the world during the #CoronavirusPandemic. https://t.co/sZBQlzEeg6 https://t.co/jEg2ssXV0N
33,2020-04-02,'Dear Elon': Ukraine takes up Tesla's ventilator offer via Twitter #Tesla #Stock #MarketScreener https://t.co/Yd9KQ6HKo5 https://t.co/VtPcCCgjl7
34,2020-04-02,"Want an indistractable day? You have to take the time to schedule every single minute. @elonmusk #Tesla 
 @entrylevelrebel  https://t.co/CzlwEBuxZM via @Inc"
35,2020-04-02,"If you had $5,000 to invest. What would you rather invest in? 

Tesla Inc at $481.56
or
Berkshire Hathaway Inc. Class B at $175.95

#ElonMusk #WarrenBuffett #Tesla #BerkshireHathaway"
36,2020-04-01,"Tesla Inc closed at $481.56 (-8.1%) 🔴 Market Cap is now $88.66B
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
37,2020-04-01,"Tesla Inc is now $493.08 (-5.9%) 🔴
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
38,2020-04-01,"#Tesla, #Inc. (NASDAQ:TSLA) Stock Short Sellers Are Once Bitten, Twice Shy!: Tesla, Inc… https://t.co/gpVK65Xjxq"
39,2020-03-31,"EVERYONE MUST WEAR A MASK WHENEVER YOU LEAVE HOME!

NO EXCEPTIONS!

It is your humanitarian duty!
⁣
#quantitiveeasing #RateCuts #newworldorder #Covid19 #RealEstate #Investment #StockMarket #Property #ROI #ConvertibleBonds #AmericanSwissCapital #stimulus ⁣#ElonMusk #Tesla https://t.co/68pvVAwIIs"
40,2020-03-31,"Tesla Inc closed at $524 (4.36%) 💹 Market Cap is now $96.473B
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
41,2020-03-31,"Tesla Inc is now $525.96 (4.75%) 💹
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
42,2020-03-31,RT @moneycontrolcom: #Tesla Inc Chief Executive @elonmusk says the company has extra #FDA-approved #ventilators that can be shipped free of…
43,2020-03-31,"#Tesla Inc Chief Executive @elonmusk says the company has extra #FDA-approved #ventilators that can be shipped free of cost to hospitals. Read 👇

https://t.co/ZLbZtJ5Js8"
44,2020-03-31,"@elonmusk @Tesla Thank you kindly to Elon and Tesla for the incredible gesture. 🙏

#Italy #Italia #Umbria #tuscany #COVID #COVID19 #ElonMusk #Tesla"
45,2020-03-31,Tesla Motors Inc (TSLA) stock rose by 5.8744%! Currently at 531.6272. https://t.co/Salpg2wX5c #Tesla #Bot
46,2020-03-31,RT @thesecretfittie: #Tesla Inc will reopen its #NewYork factory “as soon as humanly possible” to manufacture ventilators for #coronavirus…
47,2020-03-30,"Tesla Inc closed at $502.13 (-2.38%) 🔴 Market Cap is now $92.447B
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
48,2020-03-30,"RT @Rakamoto: After falling on Friday, #Tesla Inc (#NASDAQ: TSLA) #stock is down again in the #pre-#market #trade today.

https://t.co/2i7b…"
49,2020-03-30,"After falling on Friday, #Tesla Inc (#NASDAQ: TSLA) #stock is down again in the #pre-#market #trade today.

https://t.co/2i7bDae5p7

#Rakamoto #MondayThoughts #Blockchain #Crypto #Bitcoin #Digital #Money #Coins #Dollar #Banks"
